title,author,length
Rich Dad Poor Dad,Robert T. Kiyosaki,Length: 6 hrs and 9 mins
The Power of Habit,Charles Duhigg,Length: 10 hrs and 53 mins
The Sea of Monsters,Rick Riordan,Length: 7 hrs and 55 mins
Unprotected,Billy Porter,Length: 12 hrs and 22 mins
Principles,Ray Dalio,Length: 16 hrs and 5 mins
I Can't Make This Up,"Neil Strauss - contributor,Kevin Hart",Length: 11 hrs and 15 mins
The Great Gatsby,F. Scott Fitzgerald,Length: 4 hrs and 49 mins
Inherited Luck,Mel Todd,Length: 11 hrs and 35 mins
The Verifiers,Jane Pek,Length: 11 hrs and 46 mins
This Here Flesh,Cole Arthur Riley,Length: 6 hrs and 8 mins
Uncanceled,Phil Robertson,Length: 6 hrs and 25 mins
Steal,"James Patterson,Howard Roughan",Length: 8 hrs and 16 mins
Winter's Heart,Robert Jordan,Length: 24 hrs and 12 mins
Leviathan Wakes,James S. A. Corey,Length: 20 hrs and 56 mins
The Lightning Thief,Rick Riordan,Length: 10 hrs and 2 mins
Baptism of Fire,Andrzej Sapkowski,Length: 11 hrs and 59 mins
1984,George Orwell,Length: 11 hrs and 22 mins
The Fiery Cross,Diana Gabaldon,Length: 55 hrs and 30 mins
The Hobbit,J. R. R. Tolkien,Length: 11 hrs and 5 mins
How to Be Perfect,Michael Schur,Length: 9 hrs and 13 mins
When He's Sinful,Suzanne Wright,Length: 13 hrs
Before the Batman: An Original Movie Novel (The Batman Movie),Random House,Length: 2 hrs and 20 mins
Verity,Colleen Hoover,Length: 8 hrs and 10 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
22 Seconds,"James Patterson,Maxine Paetro",Length: 9 hrs
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
April 1945,Craig Shirley,Length: 17 hrs and 5 mins
The Man Behind the Curtain,Matt Palumbo,Length: 7 hrs and 36 mins
Sherlock Holmes & the Singular Affair,M. K. Wiseman,Length: 3 hrs and 58 mins
All About Me!,Mel Brooks,Length: 15 hrs and 6 mins
Tell Yourself a Better Lie,Marisa Peer,Length: 8 hrs and 36 mins
Babylon's Ashes,James S. A. Corey,Length: 19 hrs and 58 mins
Act Like You Got Some Sense,Jamie Foxx,Length: 5 hrs and 47 mins
The Alice Network,Kate Quinn,Length: 15 hrs and 7 mins
How Civil Wars Start,Barbara F. Walter,Length: 7 hrs and 17 mins
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins
Sink or Swim,Annabeth Albert,Length: 8 hrs and 28 mins
CEO Excellence,"Carolyn Dewar,Scott Keller,Vikram Malhotra",Length: 11 hrs
Things That Matter,Joshua Becker,Length: 8 hrs
Think of Me,Frances Liardet,Length: 13 hrs and 53 mins
Salmon P. Chase,Walter Stahr,Length: 27 hrs and 27 mins
Level Up,"Stacey Abrams,Lara Hodgson,Heather Cabot",Length: 6 hrs and 28 mins
Go Back to Where You Came From,Wajahat Ali,Length: 8 hrs and 22 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
The Horsewoman,"James Patterson,Mike Lupica",Length: 11 hrs and 7 mins
Fake News & Office Blues,Amanda M. Lee,Length: 9 hrs and 30 mins
The Tower of Swallows,Andrzej Sapkowski,Length: 16 hrs and 25 mins
Empire of Pain,Patrick Radden Keefe,Length: 18 hrs and 6 mins
The Obesity Code,Dr. Jason Fung,Length: 10 hrs and 9 mins
"The Word of Promise Audio Bible - New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
Love Unfu*ked,Gary John Bishop,Length: 3 hrs and 46 mins
SpecOps,Craig Alanson,Length: 15 hrs and 50 mins
Hero on a Mission,Donald Miller,Length: 5 hrs and 20 mins
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins
